bb_rating,us_govt_bond_rating,below_b_rating,others_rating,maturity_bond,b_rating,tag,a_rating,aaa_rating,aa_rating,bbb_rating,duration_bond
0.0,0.0,0.0,0.0,,0.0,67922,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,134783,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,61271,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,64412,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,184058,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,249560,0.0,0.0,0.0,0.0,
17.94,0.0,0.78,10.04,,21.07,202778,8.53,7.44,1.64,32.55,
0.0,0.0,0.0,0.0,,0.0,138257,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,102419,0.0,0.0,0.0,0.0,
1.78,0.0,0.17,5.86,7.34,1.35,62027,8.4,63.07,3.9,15.47,4.84
0.0,0.0,0.0,0.0,,0.0,86975,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,141173,0.0,0.0,0.0,0.0,
2.5,0.0,0.0,6.7,12.27,0.7,59264,27.0,6.2,32.2,24.7,6.48
22.0,0.0,8.0,3.0,10.89,35.0,201365,4.0,1.0,2.0,25.0,6.69
4.01,0.0,0.93,3.15,17.26,0.0,90440,31.98,10.99,39.45,9.48,7.47
9.53,0.0,5.67,0.27,10.78,10.61,160217,10.74,41.9,3.71,17.57,5.39
0.0,0.0,0.0,0.0,,0.0,191978,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,120203,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,4.8,9.44,0.0,58841,52.2,4.1,34.6,4.3,5.32
9.1,0.0,0.0,0.0,11.7,0.0,116882,6.9,0.0,0.0,84.0,6.6
0.0,0.0,0.17,0.3,,0.0,204533,12.04,75.77,6.66,5.06,3.03
4.11,0.0,0.0,9.19,2.08,0.0,142010,9.79,70.07,0.0,6.84,0.89
0.0,0.0,0.0,0.0,,0.0,64097,0.0,0.0,0.0,0.0,
42.63,0.0,5.6,0.13,7.03,48.08,56546,0.0,2.95,0.0,0.6,4.33
5.33,0.0,0.0,0.04,20.43,0.98,105506,35.19,2.79,5.78,49.89,11.8
0.0,0.0,0.0,0.0,,0.0,56645,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,207287,0.0,0.0,0.0,0.0,
33.58,0.0,1.59,0.0,10.49,39.55,53837,2.5,3.64,0.51,18.62,6.7
0.8,0.0,0.0,22.8,2.88,0.9,58517,27.0,7.2,22.1,19.2,1.56
11.21,0.0,1.92,0.52,6.47,9.96,27179,8.33,34.47,14.71,18.88,3.93
0.0,0.0,0.0,0.0,0.31,0.0,185705,0.0,0.0,0.0,0.0,0.54
4.79,0.0,0.0,1.18,15.44,0.44,56996,38.94,1.55,4.13,48.98,12.72
0.55,0.0,0.0,0.0,9.39,0.5,52559,4.22,78.83,4.18,11.73,5.99
0.0,0.0,0.0,0.0,,0.0,108710,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,99323,0.0,0.0,0.0,0.0,
9.53,0.0,5.67,0.27,10.78,10.61,159749,10.75,41.89,3.71,17.57,5.39
