portfolio_communication_allocation,portfolio_financial_services,portfolio_industrials_allocation,portfolio_tech_allocation,portfolio_materials_basic_allocation,portfolio_energy_allocation,portfolio_consumer_defence_allocation,portfolio_healthcare_allocation,portfolio_property_allocation,id,portfolio_utils_allocation,portfolio_cyclical_consumer_allocation
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,67922,0.0,0.0
0.78,9.77,9.97,35.51,2.86,0.38,5.88,14.41,2.67,134783,0.39,17.38
4.7,16.4,11.45,25.09,8.36,0.0,9.42,16.47,1.03,61271,0.0,7.09
6.53,13.8,10.91,0.16,2.22,6.79,25.73,9.0,0.0,64412,19.42,5.43
3.49,13.95,10.51,19.26,3.75,5.11,7.29,12.22,10.41,184058,3.07,10.95
0.0,14.2,16.76,9.82,15.64,0.0,0.0,0.0,0.0,249560,43.58,0.0
4.35,14.12,14.69,16.73,2.35,7.76,7.22,15.77,3.48,202778,4.31,9.22
4.25,23.02,8.24,11.89,2.86,8.47,7.33,13.92,4.18,138257,6.34,9.5
8.45,18.86,11.39,3.04,6.25,8.43,9.39,7.67,6.53,102419,3.48,16.5
3.02,14.9,12.48,22.17,3.35,4.27,6.61,14.32,2.88,62027,2.37,13.64
11.07,0.0,2.51,0.0,4.39,0.0,0.0,0.0,33.77,86975,41.47,6.79
3.37,13.67,12.05,22.97,2.67,5.21,7.25,14.07,3.47,141173,3.16,12.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201365,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90440,0.0,0.0
2.91,16.79,11.18,16.9,4.16,4.4,7.95,12.3,7.84,160217,2.3,13.28
3.32,16.44,19.92,15.89,3.87,3.36,4.3,12.67,5.32,191978,2.08,12.84
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,120203,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58841,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116882,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204533,0.0,0.0
