category,parent_company,fund_id,fund_name
Energy Limited Partnership,DWS,264614c6-5ac3-4146-ba26-1674b136cb40,DWS RREEF MLP & Energy Infrastructure Fund - Class S
Large Growth,Janus Henderson,f5ad58c2-fdea-4087-8678-e04744f89f90,Janus Henderson Research Fund Class N
Large Growth,Calvert Research and Management,3c13f4ab-02c4-4ca7-a133-7e996ec5d0c4,Calvert Equity Fund Class A
Large Value,Invesco,ff78bdd8-59eb-4cef-9f3c-b1baacce9554,Invesco Diversified Dividend Fund R5 Class
Target-Date 2035,PGIM Funds (Prudential),63d8406d-c525-494a-8e03-d4fc4cfcb571,Prudential Day One 2035 Fund Class R3
Convertibles,Teton Westwood Funds,090afb4d-eca3-4f69-8275-a140a0b40292,TETON Convertible Securities Fund Class C
Multialternative,OppenheimerFunds,17421c06-1ed9-4a00-b88b-91dcf9e0dc77,Oppenheimer Fundamental Alternatives Fund Y
Large Value,Catholic Investor,08702e4f-c5bb-4f0a-b63b-f9e4a0eb2425,Catholic Investor Large Cap Value Fund Class S
Foreign Large Value,John Hancock,40989717-745e-422c-a761-9695cb9989a8,John Hancock Funds III - John Hancock International Core Fund
Allocation - 15% to 30% Equity,Columbia,bcd0ba02-c92f-4d50-803c-1b9a9311ccfb,Columbia Thermostat Fund Class A
Long-Short Credit,Franklin Templeton Investments,c59f7335-58c4-4fbb-bf94-31ef448d402e,Franklin K2 Long Short Credit Fund Class C
Large Blend,SEI,f6d10f8e-5f68-4966-956a-3c9e6b6cfed9,SEI Institutional Investments Trust Large Cap Index Fund Class A
Muni National Long,Columbia,45b6a06f-a9d6-4567-b43a-70df2e4d6c68,Columbia U.S. Social Bond Fund Institutional Class
Emerging Markets Bond,Paydenfunds,7bef8de0-2b21-444c-b433-577b2e34356d,Payden Emerging Markets Bond Fund SI Class
Muni Pennsylvania,Nuveen,b10a279a-9ef0-4d66-b83d-3609845fc11c,Nuveen Pennsylvania Municipal Bond Fund Class C
Target-Date 2055,MassMutual,5a8ca5e6-f9e6-498e-9df4-01e4d6b7905d,MassMutual RetireSMART by JPMorgan 2055 Fund Service Class
Small Growth,PNC Funds,cf56db43-046b-49d0-b8f0-90fe9cf8aacf,PNC Multiple Factor Small Cap Core Fund Class I
Energy Limited Partnership,Invesco,c21f64e0-aef3-4deb-9072-29302b3021f6,Invesco MLP Fund Class A
Muni New York Intermediate,Columbia,b4ffe6cc-2306-40f2-885c-89895197e223,Columbia AMT-Free New York Intermediate Muni Bond Fund Institutional 2 Class
Corporate Bond,Ivy Funds,91f193da-bf11-4958-bc62-79786da1c5c2,Ivy Crossover Credit Fund Class R
Short-Term Bond,American Funds,20a78c76-247c-476d-aa56-8f09a91b6ede,American Funds Intermediate Bond Fund of America Class R-2
Emerging Markets Bond,Lazard,32c0d0ad-42fc-4eac-bcbf-db81155061ea,Lazard Emerging Markets Income Portfolio Institutional Shares
Foreign Large Blend,Dunham Funds,cc13cfc9-8d13-49a2-85de-a416802a5388,Dunham International Stock Fund Class C
High Yield Bond,Columbia,b145580a-be0d-4bf2-b021-afea52ab859d,Columbia Income Opportunities Fund Institutional Class
Target-Date 2050,Goldman Sachs,3faa81fc-9640-43d0-8b68-e5b06c65bfe6,Goldman Sachs Target Date 2050 Portfolio Institutional Shares
Small Growth,Champlain Funds,641bed7d-01c8-4f17-876a-7c92b9c7772a,Champlain Small Company Fund Class Advisor
Large Growth,American Funds,ff836e53-0baf-41d8-8720-ec9ad3ea9333,American Funds Growth Portfolio Class R-5E
Emerging Markets Bond,Columbia,b1efcbda-2aaf-464e-a086-ff83c310d719,Columbia Emerging Markets Bond Fund Institutional 2 Class
Muni National Short,Columbia,09e24f3d-7191-4207-887c-98f31c6b59d2,Columbia Short Term Municipal Bond Fund Institutional 2 Class
Allocation - 50% to 70% Equity,Invesco,ece97bde-c35a-4e56-8736-3a63d05effcf,Invesco Moderate Allocation Fund Class Y
Market Neutral,PIMCO,af45357c-fd37-4fd0-8515-7ff8d0c614c4,PIMCO RAE Fundamental Advantage PLUS Fund Class I-2
Long-Term Bond,Calvert Research and Management,cf16e846-1090-4041-b20c-22d6c27fe32e,Calvert Long-Term Income Fund Class I
Intermediate-Term Bond,Virtus,ddc4a019-bfad-47bc-8402-0f6314464d19,Virtus Seix Total Return Bond Fund Class A
World Allocation,Janus Henderson,748389f1-fb07-4456-96cf-342508894110,Janus Henderson Dividend & Income Builder Fund Class T
Mid-Cap Growth,Goldman Sachs,445351ad-1b0a-4d79-9387-9e7505e60803,Goldman Sachs Growth Opportunities Fund Class A
Target-Date 2050,MassMutual,fcdef764-4788-4cd6-bb78-58c2b0c143df,MassMutual RetireSMART by JPMorgan 2050 Fund Administrative Class
Muni Minnesota,Eaton Vance,85d8e05d-9f63-4ed9-a388-7397e43e0816,Eaton Vance Minnesota Municipal Income Fund Class C
Allocation - 85%+ Equity,Manning & Napier,bf528bfe-ab35-4757-972b-81ca1ff69657,Manning & Napier Pro-Blend Maximum Term Series Class I
Emerging Markets Bond,Columbia,f43d7168-0c2e-4036-9454-4ba2a8bae63a,Columbia Emerging Markets Bond K
Target-Date 2030,John Hancock,35f5d139-2418-4eb9-9dbf-54164560cd85,John Hancock Funds II Multimanager 2030 Lifetime Portfolio Class R5
Small Growth,Oak Ridge Funds,9133c457-d0c0-4e57-93c5-f54e7b01d6fb,Oak Ridge Small Cap Growth Fund Class A
Target-Date Retirement,Manning & Napier,9543feaf-96d7-4681-a6f1-2836760d198c,Manning & Napier Target Income Series Class K
Multisector Bond,Federated,5174b605-9b6c-4010-b02c-7710bf07bae7,Federated Strategic Income Fund Class C Shares
Intermediate-Term Bond,MFS,77cfa536-607f-4069-a6b8-f10109dfd77d,MFS Total Return Bond Fund Class I
Small Growth,O&#39;Shaughnessy Mutual Funds,01c13d12-6b25-4362-aecb-6249572fc3f9,O'Shaughnessy Small/Mid Cap Growth Fund Class I
Muni National Interm,Rockefeller & Co.,26aa9114-61c8-414c-a519-00f59fa9e11f,Rockefeller Intermediate Tax Exempt National Bond Fund Institutional Class
Large Growth,American Funds,61b7dc48-d96e-41f2-930b-86e82ae615a6,American Funds AMCAP Fund Class F-1
Corporate Bond,JPMorgan,3b56fc79-9ecc-45f3-a26a-2c97518748b5,JPMorgan Corporate Bond Fund Class C
Target-Date 2050,Principal Funds,de51213a-5932-48b1-a795-68d0d168d064,Principal LifeTime 2050 Fund R-4 Class
Foreign Large Value,Dimensional Fund Advisors,2d9b25cb-b1ea-4951-bab8-b987d057380c,DFA International Value Portfolio III
Target-Date 2025,Voya,63ac406e-0d07-4713-9b69-88b4075c4ecb,Voya Target Retirement 2025 Fund Class I
Target-Date 2050,John Hancock,d7207b69-93ff-4131-9a16-d93058d27d7b,John Hancock Funds Multimanager 2050 Lifetime Portfolio Class I
Large Growth,Fidelity Investments,2e868d05-4883-4507-89d2-2aeab7b5dc15,Fidelity Large Cap Growth Idx Instl
World Large Stock,Columbia,6392c128-ca8f-4903-9e16-d759417be771,Columbia Global Strategic Equity Fund Class C
Intermediate-Term Bond,Invesco,495ed9af-56e5-482c-9b17-a3772bc3065e,Invesco Quality Income Fund Class R6
Foreign Small/Mid Value,Brandes,c5594b64-5ed5-4ee0-b1dc-6ff6061e60f5,Brandes International Small Cap Equity Fund Class I
Target-Date 2030,JPMorgan,329eb106-b5d3-4bbb-a69a-a7b351d6967b,JPMorgan SmartRetirement 2030 Fund Class R4
Allocation - 30% to 50% Equity,BlackRock,f6963b59-4873-493c-940a-1d2953a2fe0a,BlackRock Multi-Asset Income Portfolio Class K
Target-Date 2035,Voya,52b259b2-7f1d-4243-879f-4b21780f856f,Voya Index Solution 2035 Portfolio Class I
World Large Stock,John Hancock,86499eab-a203-4d6c-a524-d314cc0aea9a,John Hancock Funds Global Equity Fund Class R4
Technology,Putnam,fcad9b90-d245-4ae7-9e0a-32e9bea42599,Putnam Global Technology Fund Class A
Europe Stock,Morgan Stanley,68005c8e-42a6-4645-877d-2d909076b7dd,Morgan Stanley European Equity Fund Inc. Class A
Global Real Estate,Invesco,0eec9829-4e3d-416c-ac9d-2f41283316f5,Invesco Global Real Estate Fund R5 Class
Energy Limited Partnership,OppenheimerFunds,0a53c8fa-1c27-4876-bf42-f37fe9c97263,Oppenheimer SteelPath MLP Alpha Plus Fund Class A
Short Government,Paydenfunds,11c8964a-d542-4a91-8363-616e9b50b090,Payden U.S. Government Fund Investor Class
Mid-Cap Growth,Tanaka,9dc9eb73-35c1-48f0-a5af-6875689fc136,Tanaka Growth Fund
Large Blend,OppenheimerFunds,b9a71e92-be3a-4e6f-9a17-370b2632e5f8,Oppenheimer Main Street All Cap Fund Class Y
Bank Loan,JPMorgan,1ccceb82-c7c4-420e-81cc-667fd864e4f4,JPMorgan Floating Rate Income Fund Class I
Market Neutral,Invesco,5f51b039-dd1a-46e4-b471-0a204c75bc34,Invesco Global Market Neutral Fund Class A
Large Value,BNY Mellon Funds,11959895-6ecc-4031-b6f1-0fce1629d435,BNY Mellon Income Stock Fund Class C
Mid-Cap Growth,LKCM,3112a566-6ccb-4c1c-ac06-c685ff859493,LKCM Small-Mid Cap Equity Fund Institutional Class
Small Blend,Russell,809b6e79-34b9-4c28-9207-55a4f88fbde6,Russell Investments U.S. Small Cap Equity Fund Class E
Technology,T. Rowe Price,c62dd5a7-7b84-413e-b629-d1212211b89b,T. Rowe Price Global Technology Fund
Muni National Long,T. Rowe Price,3f6e4203-1560-4a1c-8844-bbcde53208f2,T. Rowe Price Tax-Free Income Fund
Nontraditional Bond,Invesco,76317970-6e2c-487a-a66c-051709fab161,Invesco Unconstrained Bond R6
Intermediate-Term Bond,PGIM Funds (Prudential),31c207db-1b17-4a68-9305-fa1c75760b65,PGIM Total Return Bond Fund -Class R6
High Yield Bond,MainStay,1c08679a-d627-47f2-a5d5-87c9415af3ec,MainStay MacKay High Yield Corporate Bond Fund Class R3
Large Growth,FDP Series Funds,c3cfdd4c-690c-4eed-8ee8-6bd75586a688,FDP BlackRock Capital Appreciation Fund Investor A Shares
Target-Date 2050,John Hancock,337e1e79-df30-4526-a519-e19e04bc0afd,John Hancock Funds Multi-Index 2050 Lifetime Portfolio Class R6
Allocation - 50% to 70% Equity,Oakmark,167dff20-8aff-4bd6-8efb-4094fdccc930,Oakmark Equity and Income Fund Class Institutional
Intermediate Government,RBC Global Asset Management.,17cb909c-d47d-4039-baa0-8edc46aa7919,Access Capital Community Investment Fund Class A
Corporate Bond,BNY Mellon Funds,c2896226-0c05-4162-96b9-c12a94c8cab6,BNY Mellon Corporate Bond Fund Investor Shares
Foreign Large Blend,Hartford Mutual Funds,c9f90fe4-6afe-4779-8c03-a32bf29270d2,The Hartford International Opportunities Fund Class R5
Small Value,Allianz Funds,ebd9bad0-3ec5-4558-bba5-63c340261c62,AllianzGI NFJ Small-Cap Value Fund Institutional Class
World Large Stock,Lord Abbett,06c31e27-bfc9-4117-87ff-33ce4b216713,Lord Abbett Global Equity Research Fund Class R2
Real Estate,Guggenheim Investments,e0843d68-35e1-42ae-be61-cd1dd88fc6a0,Guggenheim Risk Managed Real Estate Fund Class A
World Large Stock,Janus Henderson,42aabb83-fe2d-4487-b86e-aa7bf103e0b8,Janus Henderson Global Select Fund Class D
Mid-Cap Value,Clifford Capital,16dda9f3-b0ff-4ed0-83f1-130aa2d354a7,Clifford Capital Partners Fund Institutional Class
Large Growth,Dreyfus,5cfbb979-2567-46da-a8bc-ae398d73591d,"Dreyfus Research Growth Fund, Inc. Class A"
Large Value,Artisan,94a29f34-ca13-43fe-a7f1-497fab5581ca,Artisan Value Fund Investor Class
World Small/Mid Stock,American Funds,ce174fd0-c714-4149-bb6e-82d3455b20a6,American Funds SMALLCAP World Fund Class R-2E
Allocation - 50% to 70% Equity,Voya,6e6a4e58-7346-45c0-be3d-23bcfbf13556,VY T. Rowe Price Capital Appreciation Portfolio Class R6
Target-Date 2035,GuideStone Funds,c7f0a127-c4e5-4bd5-a794-b3439b576d53,GuideStone Funds MyDestination 2035 Fund Investor Class
Muni National Interm,UBS Asset Management,80024c1d-8bf2-43ab-92b0-f82615117cc5,UBS Municipal Bond Fund Class A
Intermediate-Term Bond,MainStay,6e43421e-36f0-4182-9e0d-9a8d30f3fab7,MainStay Indexed Bond Fund Investor Class
Muni Single State Short,OppenheimerFunds,19de65db-f280-483e-8d51-62f636b2cb3a,Oppenheimer Rochester Limited Term California Municipal Fund Class C
Large Blend,Transamerica,141a1a82-a86c-4f1b-971f-aed6c3d3525f,Transamerica Large Core Fund Class I3
Allocation - 15% to 30% Equity,Wells Fargo Funds,e537861f-ac24-4900-897b-53b0740f11e2,Wells Fargo Diversified Income Builder Fund - Class A
