fund_id,tag,fund_ratio_net_annual_expense,pb_ratio,ps_ratio,mmc,pc_ratio,pe_ratio
264614c6-5ac3-4146-ba26-1674b136cb40,67922,1.44,1.71,1.31,"19,857.41",5.91,14.51
f5ad58c2-fdea-4087-8678-e04744f89f90,134783,0.58,5.3,3.38,"72,347.03",15.95,18.88
3c13f4ab-02c4-4ca7-a133-7e996ec5d0c4,61271,0.99,5.4,3.67,"68,857.43",15.97,23.27
ff78bdd8-59eb-4cef-9f3c-b1baacce9554,64412,0.52,2.23,1.63,"43,266.62",8.93,12.7
63d8406d-c525-494a-8e03-d4fc4cfcb571,184058,0.75,2.02,1.4,"43,747.9",7.59,14.74
090afb4d-eca3-4f69-8275-a140a0b40292,249560,1.9,0.0,0.0,0,0.0,0.0
17421c06-1ed9-4a00-b88b-91dcf9e0dc77,202778,1.73,2.48,1.94,"55,075.22",8.67,15.26
08702e4f-c5bb-4f0a-b63b-f9e4a0eb2425,138257,1.04,2.18,1.17,"38,651.17",5.87,13.16
40989717-745e-422c-a761-9695cb9989a8,102419,1.07,1.13,0.73,"22,061.79",3.61,12.09
bcd0ba02-c92f-4d50-803c-1b9a9311ccfb,62027,0.85,2.92,1.9,"40,780.45",9.41,16.92
c59f7335-58c4-4fbb-bf94-31ef448d402e,86975,3.86,1.52,0.44,"4,212.32",0.37,15.59
f6d10f8e-5f68-4966-956a-3c9e6b6cfed9,141173,0.03,2.86,1.96,"81,046.51",8.67,17.13
45b6a06f-a9d6-4567-b43a-70df2e4d6c68,59264,0.45,0.0,0.0,0,0,0
7bef8de0-2b21-444c-b433-577b2e34356d,201365,0.69,0.0,0,0,0,0
b10a279a-9ef0-4d66-b83d-3609845fc11c,90440,1.61,0.0,0.0,0,0,0
5a8ca5e6-f9e6-498e-9df4-01e4d6b7905d,160217,0.73,2.19,1.64,"44,973.72",7.67,16.24
cf56db43-046b-49d0-b8f0-90fe9cf8aacf,191978,0.85,2.28,1.34,"3,107.63",8.63,18.05
c21f64e0-aef3-4deb-9072-29302b3021f6,120203,1.69,1.28,1.08,"11,248.53",4.5,11.62
b4ffe6cc-2306-40f2-885c-89895197e223,58841,0.43,0.0,0.0,0,0,0
91f193da-bf11-4958-bc62-79786da1c5c2,116882,1.45,0.0,0.0,0,0.0,0.0
20a78c76-247c-476d-aa56-8f09a91b6ede,204533,1.37,0.0,0,0,0,0
32c0d0ad-42fc-4eac-bcbf-db81155061ea,142010,0.91,0.0,0.0,0,0.0,0.0
cc13cfc9-8d13-49a2-85de-a416802a5388,64097,2.67,1.31,0.9,"32,534.6",5.03,11.23
b145580a-be0d-4bf2-b021-afea52ab859d,56546,0.79,1.74,0.31,"4,542.41",4.05,6.46
3faa81fc-9640-43d0-8b68-e5b06c65bfe6,105506,0.27,2.03,1.28,"29,145.49",6.96,13.37
641bed7d-01c8-4f17-876a-7c92b9c7772a,56645,1.3,2.37,1.96,"2,583.75",14.04,19.59
ff836e53-0baf-41d8-8720-ec9ad3ea9333,207287,0.54,2.53,1.97,"58,716.67",8.42,17.36
b1efcbda-2aaf-464e-a086-ff83c310d719,53837,0.75,0.0,0.0,0,0,0
09e24f3d-7191-4207-887c-98f31c6b59d2,58517,0.36,0.0,0.0,0,0,0
ece97bde-c35a-4e56-8736-3a63d05effcf,27179,0.8,1.95,1.39,"21,283.78",7.82,13.02
af45357c-fd37-4fd0-8515-7ff8d0c614c4,185705,1.06,0.0,0,0,0,0
cf16e846-1090-4041-b20c-22d6c27fe32e,56996,0.67,0.0,0.0,0,0,0
ddc4a019-bfad-47bc-8402-0f6314464d19,52559,0.7,0.0,0.0,0,0,0
748389f1-fb07-4456-96cf-342508894110,108710,1.1,1.78,1.43,"67,998.71",5.5,12.41
445351ad-1b0a-4d79-9387-9e7505e60803,99323,1.24,4.59,3.2,"17,741.85",16.88,24.56
fcdef764-4788-4cd6-bb78-58c2b0c143df,159749,0.84,2.19,1.64,"45,031.68",7.67,16.24
85d8e05d-9f63-4ed9-a388-7397e43e0816,72323,1.44,0.0,0.0,0,0,0
bf528bfe-ab35-4757-972b-81ca1ff69657,160595,0.85,3.57,2.91,"56,187.36",13.25,22.32
f43d7168-0c2e-4036-9454-4ba2a8bae63a,57950,1.0,0.0,0.0,0,0,0
35f5d139-2418-4eb9-9dbf-54164560cd85,132182,0.63,2.01,1.5,"34,319.27",6.99,15.53
9133c457-d0c0-4e57-93c5-f54e7b01d6fb,179315,1.42,3.25,2.3,"3,349.08",13.76,21.9
9543feaf-96d7-4681-a6f1-2836760d198c,165032,0.9,3.17,2.63,"71,459.35",10.01,19.63
5174b605-9b6c-4010-b02c-7710bf07bae7,220409,1.73,1.44,0.54,"2,982.9",5.07,8.55
77cfa536-607f-4069-a6b8-f10109dfd77d,162134,0.53,0.0,0.0,0,0.0,0.0
01c13d12-6b25-4362-aecb-6249572fc3f9,177335,1.19,3.22,1.69,"3,393.56",8.35,20.02
26aa9114-61c8-414c-a519-00f59fa9e11f,205091,0.63,0.0,0,0,0,0
61b7dc48-d96e-41f2-930b-86e82ae615a6,35144,0.74,3.73,2.8,"62,299.63",11.13,20.15
3b56fc79-9ecc-45f3-a26a-2c97518748b5,52577,1.25,0.0,0.0,0,0,0
de51213a-5932-48b1-a795-68d0d168d064,199439,1.07,2.17,1.49,"38,482.24",7.51,16.25
2d9b25cb-b1ea-4951-bab8-b987d057380c,65717,0.24,0.88,0.65,"26,875.94",4.08,10.32
63ac406e-0d07-4713-9b69-88b4075c4ecb,122543,0.43,2.21,1.54,"43,311.55",7.98,15.24
d7207b69-93ff-4131-9a16-d93058d27d7b,130481,0.71,2.0,1.49,"32,571.34",6.99,15.5
2e868d05-4883-4507-89d2-2aeab7b5dc15,93608,0.04,,,,,
6392c128-ca8f-4903-9e16-d759417be771,171917,2.02,2.2,1.45,"42,198.53",8.11,15.63
495ed9af-56e5-482c-9b17-a3772bc3065e,247616,0.58,0.0,0.0,0,0.0,0.0
c5594b64-5ed5-4ee0-b1dc-6ff6061e60f5,46295,1.1,0.64,0.36,"1,062.96",2.39,10.91
329eb106-b5d3-4bbb-a69a-a7b351d6967b,136295,0.73,2.02,1.45,"41,715.64",7.42,15.17
f6963b59-4873-493c-940a-1d2953a2fe0a,46511,0.53,2.25,1.51,"46,293.16",6.81,14.96
