investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Value,USD,11850000.0,5.57,,2015-02-02,67922,Large,20.19
Growth,USD,13970000000.0,0.42,3,2012-05-30,134783,Large,16.79
Growth,USD,2660000000.0,0.02,4,1987-08-23,61271,Large,17.13
Value,USD,19570000000.0,2.71,3,2005-10-24,64412,Large,11.63
Blend,USD,28470000.0,2.44,0,2016-12-12,184058,Large,10.25
,USD,33220000.0,0.73,3,2001-11-25,249560,,10.69
Blend,USD,1070000000.0,1.95,3,1996-12-15,202778,Large,2.43
Value,USD,62430000.0,1.42,,2015-07-13,138257,Large,12.48
Value,USD,,6.15,3,2006-06-11,102419,Large,-1.06
Growth,USD,698770000.0,1.8,5,2003-03-02,62027,Large,5.99
Value,USD,119820000.0,2.39,3,2015-09-27,86975,Medium,2.0
Blend,USD,1690000000.0,2.06,5,2002-03-31,141173,Large,14.0
Blend,USD,50300000.0,2.77,3,2015-03-25,59264,Medium,3.01
Growth,USD,987570000.0,5.97,4,2012-04-08,201365,Small,8.19
Growth,USD,381470000.0,2.28,2,2014-02-09,90440,Medium,3.2
Blend,USD,57480000.0,2.67,2,2013-09-16,160217,Large,11.46
Growth,USD,381720000.0,0.77,,2005-09-29,191978,Small,9.94
Value,USD,12210000.0,5.89,3,2014-08-28,120203,Medium,17.49
Blend,USD,211020000.0,2.98,4,2016-02-29,58841,Medium,2.46
Blend,USD,36670000.0,2.83,0,2017-04-02,116882,Medium,5.86
Value,USD,18990000000.0,0.98,1,2002-05-30,204533,Large,1.54
Value,USD,5330000.0,16.39,1,2014-04-29,142010,Medium,1.92
Blend,USD,122390000.0,0.1,3,2004-12-09,64097,Large,9.48
Value,USD,1230000000.0,4.78,3,2010-09-26,56546,Medium,7.7
Blend,USD,6910000.0,1.95,,2016-08-21,105506,Large,11.77
Growth,USD,1770000000.0,0.0,4,2004-11-29,56645,Small,14.98
Growth,USD,7810000000.0,1.05,2,2015-11-19,207287,Large,12.93
Growth,USD,404240000.0,4.75,3,2012-11-07,53837,Small,7.88
Value,USD,903090000.0,1.75,,2012-11-07,58517,Medium,1.04
Blend,USD,704360000.0,2.29,3,2008-10-02,27179,Large,8.83
,USD,1600000000.0,0.47,2,2010-06-29,185705,,-0.61
Growth,USD,60490000.0,3.8,3,2015-01-29,56996,Medium,7.55
Blend,USD,429620000.0,1.91,2,2004-10-10,52559,Large,2.34
Value,USD,176270000.0,2.89,3,2017-06-04,108710,Large,8.45
Growth,USD,1330000000.0,0.0,3,1999-05-23,99323,Large,18.02
Blend,USD,183840000.0,2.59,3,2007-12-16,159749,Large,11.21
Blend,USD,139350000.0,1.75,2,2005-12-20,72323,Medium,2.34
Growth,USD,401080000.0,1.06,,2008-03-27,160595,Large,13.23
Growth,USD,474880000.0,5.42,,2006-02-15,57950,Small,0.37
Blend,USD,1230000000.0,2.71,4,2006-10-29,132182,Large,10.73
Growth,USD,219690000.0,0.0,2,1994-01-02,179315,Medium,15.15
Growth,USD,75950000.0,1.67,2,2008-03-27,165032,Large,5.91
Value,USD,621050000.0,3.37,3,1994-05-01,220409,Small,6.13
Blend,USD,5560000000.0,2.93,4,1999-01-03,162134,Medium,3.72
Growth,USD,15640000.0,0.0,,2010-08-15,177335,Medium,11.06
Blend,USD,100860000.0,1.36,,2013-12-25,205091,Medium,2.5
Growth,USD,66000000000.0,0.42,3,2001-03-15,35144,Large,12.66
Growth,USD,92420000.0,3.42,2,2013-02-28,52577,Medium,5.45
Growth,USD,2220000000.0,1.54,3,2001-02-28,199439,Large,12.51
Value,USD,2500000000.0,3.26,4,1995-02-01,65717,Large,8.45
Blend,USD,22730000.0,1.79,3,2012-12-19,122543,Large,8.07
Blend,USD,403780000.0,2.28,3,2015-03-26,130481,Large,12.23
Growth,USD,1310000000.0,0.96,0,2016-06-06,93608,Large,6.55
Growth,USD,628040000.0,1.25,3,1996-10-14,171917,Large,12.97
Value,USD,513220000.0,4.26,,2017-04-03,247616,Medium,2.27
Value,USD,658950000.0,2.93,,2012-01-31,46295,Small,3.62
Blend,USD,8160000000.0,2.49,4,2016-09-08,136295,Large,9.78
Blend,USD,15880000000.0,5.3,4,2017-02-02,46511,Large,6.99
Blend,USD,889980000.0,1.56,3,2008-03-09,122894,Large,10.17
Value,USD,735170000.0,1.94,,2015-03-26,129599,Large,14.86
Growth,USD,381800000.0,0.16,3,2008-12-17,188054,Large,19.61
Growth,USD,100160000.0,0.46,2,1997-07-27,76859,Large,11.88
Blend,USD,807610000.0,4.79,3,2005-04-28,118934,Large,15.01
Value,USD,184280000.0,11.52,2,2012-02-05,158183,Medium,22.46
Value,USD,38720000.0,2.43,4,1995-01-02,201644,Large,1.44
Growth,USD,10150000.0,0.0,1,1998-12-29,231506,Medium,11.55
Growth,USD,1130000000.0,0.64,,2000-09-24,178496,Large,15.75
Value,USD,1990000000.0,4.71,2,2011-05-31,134369,Small,3.83
Value,USD,9700000.0,2.91,2,2013-12-18,157499,Medium,-5.39
Value,USD,999030000.0,1.24,,2016-05-30,47294,Large,10.13
Growth,USD,12570000.0,0.0,,2011-05-01,144170,Medium,18.06
Growth,USD,1620000000.0,0.0,3,1999-05-13,205586,Small,14.16
Growth,USD,4970000000.0,0.0,4,2000-09-28,196433,Large,20.98
Blend,USD,2500000000.0,3.5,3,1976-10-25,197351,Medium,2.6
Value,USD,14900000.0,2.19,0,2014-10-13,124316,Small,-1.77
Value,USD,39360000000.0,4.09,5,2010-12-26,199808,Small,4.02
,USD,9230000000.0,5.34,3,2016-02-28,155888,,5.91
Growth,USD,68650000.0,0.0,2,2005-07-26,151748,Large,16.91
Blend,USD,113000000.0,2.3,4,2013-11-06,135269,Large,11.94
Value,USD,12830000000.0,1.82,3,2016-11-29,176435,Large,8.86
Blend,USD,582740000.0,2.43,3,2009-01-28,28034,Large,1.89
Blend,USD,808230000.0,3.49,3,2012-03-01,50813,Medium,4.54
Growth,USD,3670000000.0,1.45,4,2006-12-21,119159,Large,14.07
Value,USD,1220000000.0,3.47,2,1991-09-30,198989,Small,12.25
Blend,USD,7710000.0,0.35,0,2017-01-17,142568,Large,12.76
Blend,USD,193110000.0,1.9,5,2014-03-27,106289,Medium,14.48
Blend,USD,2040000000.0,0.52,3,2000-06-29,126233,Large,11.09
Value,USD,23360000.0,0.97,5,2014-01-29,57167,Medium,18.01
Growth,USD,1700000000.0,0.02,3,2008-09-29,70730,Large,17.08
Value,USD,412510000.0,0.71,,2006-03-26,38411,Large,13.29
Growth,USD,42690000000.0,0.0,4,2014-08-28,211292,Medium,15.36
Growth,USD,6720000000.0,2.14,5,2016-05-02,245717,Large,11.97
Blend,USD,782880000.0,2.7,3,2006-12-28,101717,Large,10.06
Blend,USD,98620000.0,1.69,2,2014-11-09,240371,Medium,3.24
