10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,fund_id,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category
0.49,,,,,0.01,,,264614c6-5ac3-4146-ba26-1674b136cb40,0.01,0.21,0.0,0.06,0.01,0.13,,14.3
0.88,1.16,0.16,91.68,14.3,0.01,1.08,15.57,f5ad58c2-fdea-4087-8678-e04744f89f90,0.01,0.15,17.25,-0.01,0.01,0.14,1.42,15.94
0.88,1.22,1.0,90.69,12.68,0.01,0.95,16.58,3c13f4ab-02c4-4ca7-a133-7e996ec5d0c4,0.01,0.15,16.21,-0.01,0.01,0.14,1.33,15.94
0.9,1.2,0.75,89.03,11.21,0.01,0.84,16.38,ff78bdd8-59eb-4cef-9f3c-b1baacce9554,0.01,0.14,14.12,-0.02,0.01,0.13,1.16,13.68
0.97,,,,,0.01,,,63d8406d-c525-494a-8e03-d4fc4cfcb571,0.01,0.08,0.0,-0.02,0.01,0.12,,11.53
0.83,0.96,-0.65,84.19,10.84,0.01,1.22,8.44,090afb4d-eca3-4f69-8275-a140a0b40292,0.01,0.09,10.77,0.0,0.01,0.1,0.91,11.07
0.63,0.65,-0.88,53.84,5.39,0.01,0.49,7.08,17421c06-1ed9-4a00-b88b-91dcf9e0dc77,0.0,0.06,3.9,-0.01,0.01,0.07,0.33,4.77
0.9,,,,,0.01,,,08702e4f-c5bb-4f0a-b63b-f9e4a0eb2425,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.93,0.08,-1.01,93.74,18.02,0.01,0.91,-0.23,40989717-745e-422c-a761-9695cb9989a8,0.01,0.08,0.58,-0.01,0.01,0.16,0.19,8.08
0.81,1.19,1.76,77.75,8.33,0.01,0.9,11.14,bcd0ba02-c92f-4d50-803c-1b9a9311ccfb,0.01,-0.14,10.53,0.01,0.0,0.05,0.87,6.24
0.01,,,,,0.01,,,c59f7335-58c4-4fbb-bf94-31ef448d402e,0.01,-0.19,0.0,0.07,-0.0,0.07,,6.15
0.94,1.19,-0.13,99.75,12.91,0.01,1.02,15.32,f6d10f8e-5f68-4966-956a-3c9e6b6cfed9,0.01,0.14,16.02,-0.01,0.01,0.13,1.31,14.54
0.92,,,,,0.01,,,45b6a06f-a9d6-4567-b43a-70df2e4d6c68,0.0,0.04,0.0,-0.0,0.01,0.05,,5.05
0.17,1.03,4.05,17.95,7.45,0.01,1.11,6.97,7bef8de0-2b21-444c-b433-577b2e34356d,0.01,0.07,8.16,0.04,0.01,0.08,0.68,8.24
0.91,0.93,-0.79,96.75,4.24,0.01,1.12,3.53,b10a279a-9ef0-4d66-b83d-3609845fc11c,0.0,0.04,4.39,-0.0,0.01,0.04,0.37,4.6
0.97,,,,,0.01,,,5a8ca5e6-f9e6-498e-9df4-01e4d6b7905d,0.01,0.08,0.0,-0.02,0.02,0.13,,12.71
0.73,0.97,-1.29,76.95,16.04,0.01,1.11,13.85,cf56db43-046b-49d0-b8f0-90fe9cf8aacf,0.01,0.13,15.82,-0.02,0.01,0.18,1.34,16.24
0.49,,,,,0.01,,,c21f64e0-aef3-4deb-9072-29302b3021f6,0.01,0.21,0.0,0.06,0.01,0.13,,14.3
0.95,0.98,-0.44,96.5,3.18,0.01,0.84,3.72,b4ffe6cc-2306-40f2-885c-89895197e223,0.0,0.04,3.56,-0.01,0.01,0.04,0.3,3.77
0.58,,,,,0.01,,,91f193da-bf11-4958-bc62-79786da1c5c2,0.01,0.05,0.0,0.02,0.01,0.04,,6.44
0.39,0.55,-0.96,85.17,1.84,0.01,0.6,1.68,20a78c76-247c-476d-aa56-8f09a91b6ede,0.0,0.04,1.46,0.01,0.0,0.02,0.12,2.7
