tag,3yrs_treynor_ratio_fund,3_years_alpha_fund,3years_category_std,3yrs_sharpe_ratio_fund,3yrs_treynor_ratio_category,3_years_return_mean_annual_fund,fund_beta_3years,3years_fund_r_squared,3years_fund_std,category_beta_3years,fund_return_3years,3_years_alpha_category,3_years_return_mean_annual_category,3yrs_sharpe_ratio_category,3years_category_r_squared,3_years_return_category
67922,2.46,-7.1,0.18,0.26,0.05,0.45,1.2,54.83,16.25,0.01,4.24,-0.04,0.01,0.0,0.42,7.36
134783,12.2,0.07,0.13,1.06,0.13,1.19,1.07,88.46,12.26,0.01,14.39,0.01,0.01,0.01,0.84,15.35
61271,17.88,4.32,0.13,1.46,0.13,1.32,0.85,84.41,9.93,0.01,16.42,0.01,0.01,0.01,0.84,15.35
64412,7.93,-2.73,0.11,0.68,0.09,0.58,0.7,81.02,8.36,0.01,6.85,-0.02,0.01,0.01,0.84,10.01
184058,,,0.08,,0.06,,,,,0.01,0.0,-0.01,0.01,0.01,0.97,9.13
249560,8.09,1.51,0.08,1.12,0.08,0.88,1.16,74.65,8.24,0.01,10.69,0.01,0.01,0.01,0.72,10.21
202778,0.52,-1.85,0.05,0.06,0.03,0.13,0.31,25.34,3.77,0.01,1.45,-0.02,0.0,0.0,0.5,2.79
138257,9.33,-2.59,0.11,0.81,0.09,0.94,1.04,84.16,12.21,0.01,11.03,-0.02,0.01,0.01,0.84,10.01
102419,-3.87,-2.05,0.11,-0.24,0.05,-0.23,0.89,87.8,11.95,0.01,-3.34,-0.02,0.01,0.0,0.85,5.92
62027,8.42,0.64,0.04,1.13,0.06,0.38,0.39,69.74,2.87,0.0,4.56,-0.0,0.0,0.01,0.74,4.01
86975,"1,061.09",3.07,0.03,1.92,-0.16,0.36,0.0,0.0,1.48,0.0,4.44,0.02,0.0,0.01,0.04,3.83
141173,12.05,-0.15,0.11,1.1,0.11,1.11,1.01,99.78,10.87,0.01,13.48,-0.01,0.01,0.01,0.92,11.84
59264,1.38,-0.03,0.04,0.41,0.01,0.24,1.08,97.97,3.78,0.01,2.79,-0.0,0.0,0.0,0.94,2.55
201365,4.14,4.17,0.06,0.75,0.05,0.53,1.22,28.17,6.75,0.01,6.35,0.03,0.0,0.01,0.25,5.35
90440,0.52,-0.97,0.03,0.16,0.01,0.16,1.11,96.06,3.93,0.01,1.87,-0.0,0.0,0.0,0.93,2.44
160217,6.2,-0.72,0.09,0.98,0.06,0.87,1.48,95.37,9.26,0.01,10.45,-0.01,0.01,0.01,0.96,10.1
191978,6.6,-5.58,0.16,0.58,0.12,0.8,1.15,74.84,14.27,0.01,8.89,-0.0,0.01,0.01,0.7,15.88
120203,4.29,-4.75,0.18,0.36,0.05,0.66,1.21,44.33,18.23,0.01,6.48,-0.04,0.01,0.0,0.42,7.36
58841,0.88,-0.45,0.03,0.26,0.01,0.17,0.84,98.66,2.92,0.01,2.02,-0.01,0.0,0.0,0.96,1.78
116882,,,0.04,,0.02,,,,,0.01,0.0,0.02,0.0,0.01,0.71,3.71
204533,-2.07,-1.41,0.01,-0.62,0.03,0.02,0.5,79.99,1.7,0.0,0.25,0.0,0.0,0.0,0.6,1.87
142010,0.36,-0.1,0.06,0.08,0.05,0.15,0.8,12.01,6.76,0.01,1.58,0.03,0.0,0.01,0.25,5.35
