category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,tag,5_years_return_category
0.51,,,,,-0.0,,,,-0.0,-0.04,0.0,-0.11,0.01,0.2,67922,-4.25
0.86,0.89,0.34,90.11,12.4,0.01,1.05,10.37,0.99,0.01,0.1,11.71,-0.0,0.01,0.13,134783,11.26
0.86,1.15,2.96,89.02,10.28,0.01,0.86,13.84,1.05,0.01,0.1,12.78,-0.0,0.01,0.13,61271,11.26
0.86,0.77,-0.5,82.36,8.53,0.01,0.69,9.3,0.62,0.01,0.07,7.25,-0.03,0.01,0.11,64412,7.2
0.96,,,,,0.01,,,,0.01,0.04,0.0,-0.01,0.01,0.09,184058,5.95
0.79,0.49,-1.55,81.19,10.77,0.01,1.46,3.33,0.51,0.01,0.04,5.65,-0.0,0.01,0.09,249560,5.89
0.47,0.26,-0.3,23.66,3.42,0.0,0.25,3.32,0.14,0.0,0.02,1.64,-0.01,0.0,0.05,202778,1.36
0.86,,,,,0.01,,,,0.01,0.07,0.0,-0.03,0.01,0.11,138257,7.2
0.89,0.34,0.41,88.73,13.24,0.0,0.92,3.96,0.38,0.0,-0.0,3.75,-0.02,0.01,0.12,102419,0.62
0.76,0.89,0.88,78.17,3.36,0.01,0.44,6.69,0.31,0.0,0.04,3.77,-0.0,0.0,0.04,62027,2.81
0.03,,,,,0.0,,,,0.0,0.32,0.0,0.01,0.0,0.03,86975,1.94
0.93,0.88,-0.35,99.71,11.3,0.01,1.01,9.72,0.9,0.01,0.08,10.61,-0.02,0.01,0.12,141173,8.91
0.94,,,,,0.01,,,,0.0,0.03,0.0,-0.0,0.01,0.03,59264,3.88
0.15,0.67,2.34,19.78,6.35,0.0,0.99,4.22,0.42,0.0,0.05,4.97,0.01,0.01,0.07,201365,3.37
0.91,0.73,-0.73,95.31,3.36,0.01,1.09,2.24,0.27,0.0,0.03,3.24,0.0,0.01,0.03,90440,3.52
0.96,0.54,-1.53,95.9,10.24,0.01,1.51,3.43,0.53,0.01,0.04,5.97,-0.01,0.01,0.1,160217,6.49
0.65,0.46,-4.3,68.3,14.4,0.01,1.06,5.39,0.62,0.01,0.06,6.54,-0.03,0.01,0.17,191978,8.45
0.51,,,,,-0.0,,,,-0.0,-0.04,0.0,-0.11,0.01,0.2,120203,-4.25
0.95,0.8,-0.39,98.07,2.5,0.01,0.82,2.45,0.23,0.0,0.02,2.82,-0.01,0.01,0.03,58841,2.77
0.7,,,,,0.01,,,,0.0,0.03,0.0,0.01,0.01,0.04,116882,3.58
0.52,-0.13,-1.26,82.35,1.68,0.01,0.53,-0.44,0.05,0.0,0.03,0.57,0.0,0.0,0.01,204533,1.45
0.15,,,,,0.0,,,,0.0,0.05,0.0,0.01,0.01,0.07,142010,3.37
0.9,0.11,-1.03,90.67,12.07,0.0,0.96,0.63,0.18,0.0,0.01,1.4,-0.0,0.01,0.12,64097,2.1
0.03,0.65,2.45,5.47,5.0,0.01,0.41,7.8,0.34,0.0,0.11,3.99,0.02,0.0,0.05,56546,3.45
0.95,0.74,0.49,94.16,8.71,0.01,1.27,4.96,0.6,0.01,0.04,7.1,-0.01,0.01,0.1,105506,6.41
0.65,0.69,-0.52,63.17,15.02,0.01,1.07,9.12,0.93,0.01,0.06,10.53,-0.03,0.01,0.17,56645,8.45
0.86,0.74,-1.43,90.89,11.02,0.01,0.94,8.4,0.75,0.01,0.1,8.69,-0.0,0.01,0.13,207287,11.26
0.15,0.52,1.79,16.22,7.12,0.0,1.0,3.56,0.38,0.0,0.05,4.38,0.01,0.01,0.07,53837,3.37
0.66,0.34,-0.37,66.68,0.85,0.0,0.23,1.27,0.09,0.0,0.04,1.09,-0.01,0.0,0.01,58517,1.14
0.89,0.54,-1.1,98.31,6.77,0.01,1.01,3.45,0.37,0.0,0.04,4.28,-0.01,0.01,0.08,27179,5.12
0.04,-0.54,-1.02,10.54,3.21,0.0,-0.36,4.87,-0.08,0.0,-0.09,-0.98,-0.0,-0.0,0.05,185705,0.22
0.84,0.64,0.05,85.52,6.45,0.01,2.09,1.92,0.41,0.0,0.02,4.81,0.01,0.02,0.06,56996,5.16
0.84,0.45,-0.63,95.07,2.99,0.01,1.02,1.31,0.18,0.0,0.02,2.14,0.0,0.01,0.03,52559,2.51
